YF.download() has changed argument auto_adjust default to True
===== Backtest SPY 0DTE Put Credit Spread =====
Period: 2024-05-14 to 2025-05-14
Trades: 250
Wins: 198, Losses: 52, Win Rate: 79.2%
Total P&L: $8973.11
      date    K_short     K_long     credit         pnl
2024-05-14 513.498693 510.951324  75.823742   75.823742
2024-05-15 518.227441 515.842005  70.952505   70.952505
2024-05-16 522.221330 519.823289  71.325842   53.758285
2024-05-17 521.201438 518.890758  68.705436   68.705436
2024-05-20 521.937621 519.592869  69.726847   69.726847
2024-05-21 521.675226 519.387467  68.017341   68.017341
2024-05-22 522.990782 520.614288  70.678132   70.678132
2024-05-23 525.228402 522.748746  73.772544 -174.193035
2024-05-24 520.260120 517.965129  68.235872   68.235872
2024-05-28 522.565358 520.069365  74.266879   74.266879
2024-05-29 517.933463 515.199875  81.418689   81.418689
2024-05-30 516.775375 514.011707  82.326254    8.994071
2024-05-31 515.982399 513.517849  73.331311   73.331311
2024-06-03 521.318170 518.791605  75.187161   60.051038
2024-06-04 518.791468 516.267583  75.110212   75.110212
2024-06-05 523.081515 520.639005  72.659833   72.659833
2024-06-06 527.234564 524.782385  72.944751   72.944751
2024-06-07 525.962963 523.586545  70.672188   70.672188
2024-06-10 525.447635 522.972759  73.628716   73.628716
2024-06-11 526.315774 523.815455  74.391717   74.391717
2024-06-12 533.832879 531.456352  70.665960   70.665960
2024-06-13 535.339333 532.975850  70.272863   70.272863
2024-06-14 533.042574 530.547653  74.220615   74.220615
2024-06-17 534.217737 531.699583  74.916810   74.916810
2024-06-18 539.261548 536.809129  72.936706   72.936706
2024-06-20 541.426622 538.768659  79.107391  -51.005972
2024-06-21 538.197539 535.571306  78.158392   78.158392
2024-06-24 538.117528 535.465889  78.922132   31.970311
2024-06-25 537.822087 535.269090  75.958485   75.958485
2024-06-26 537.549565 535.055359  74.193268   74.193268
2024-06-27 539.236451 536.796081  72.575103   72.575103
2024-06-28 540.989529 538.501314  74.009042 -113.536421
2024-07-01 539.495186 537.057626  72.490475   72.490475
2024-07-02 537.602772 535.211445  71.105493   71.105493
2024-07-03 542.531739 540.106478  72.117731   72.117731
2024-07-05 545.544196 543.026982  74.873782   74.873782
2024-07-08 549.182196 546.670480  74.704147   74.704147
2024-07-09 549.980996 547.437224  75.665437   75.665437
2024-07-10 550.752933 548.136523  77.845770   77.845770
2024-07-11 555.067372 552.416135  78.886059 -186.237572
2024-07-12 551.339789 548.799900  75.547098   75.547098
2024-07-15 555.633495 552.938572  80.197868   80.197868
2024-07-16 556.457941 553.744655  80.748541   80.748541
2024-07-17 552.324524 549.368706  88.050800   27.082747
2024-07-18 551.914947 548.666423  96.874573 -227.977890
2024-07-19 545.847561 542.516119  99.390805 -101.423612
2024-07-22 546.555609 543.544045  89.740125   89.740125
2024-07-23 548.093543 545.111884  88.836435   88.836435
2024-07-24 542.203975 538.591309 107.902631 -253.364012
2024-07-25 534.750792 531.105117 108.922481  -30.298538
2024-07-26 535.838886 532.594187  96.793559   96.793559
2024-07-29 539.517063 536.208361  98.718248   98.718248
2024-07-30 539.664357 536.138145 105.293037 -169.644820
2024-07-31 542.461756 539.182948  97.808921   97.808921
2024-08-01 545.823252 542.075975 111.968870 -262.758857
2024-08-02 528.824568 524.260622 136.857176   44.439423
2024-08-05 503.898220 496.747136 216.853919  216.853919
2024-08-06 512.177399 506.944908 157.407011  157.407011
2024-08-07 521.291062 515.938696 161.029834 -374.206766
2024-08-08 517.106526 512.567726 136.143447  136.143447
2024-08-09 523.199674 519.265080 117.721242  117.721242
2024-08-12 527.517701 523.484674 120.696762  120.696762
2024-08-13 530.017112 526.470038 105.949826  105.949826
2024-08-14 536.418486 533.209795  95.705181   95.705181
2024-08-15 543.069648 540.013250  91.097752   91.097752
2024-08-16 545.003143 542.022226  88.819585   88.819585
2024-08-19 548.287308 545.318741  88.441775   88.441775
2024-08-20 552.551605 549.309511  96.679210   96.679210
2024-08-21 553.131239 549.806278  99.179058   99.179058
2024-08-22 555.779397 552.176536 107.570634 -252.715496
2024-08-23 552.928836 549.688603  96.622287   96.622287
2024-08-26 556.511007 553.190328  99.042463    0.804330
2024-08-27 552.925760 549.773143  93.979573   93.979573
2024-08-28 554.482934 550.978308 104.603416  -37.488772
2024-08-29 553.717430 550.515415  95.467719   34.875879
2024-08-30 554.227297 551.155078  91.553650   91.553650
2024-09-03 553.447862 549.214556 126.691468 -296.639130
2024-09-04 543.257230 538.982017 128.002546  128.002546
2024-09-05 544.055491 540.058111 119.558090  119.558090
2024-09-06 542.913587 538.429536 134.360837 -314.044305
2024-09-09 537.929603 534.066286 115.509834  115.509834
2024-09-10 541.624349 537.808233 114.067245  114.067245
2024-09-11 542.074845 538.532884 105.763343  105.763343
2024-09-12 548.360618 544.902766 103.204288  103.204288
2024-09-13 553.047442 549.663910 100.947874  100.947874
2024-09-16 555.003997 551.489948 104.887041  104.887041
2024-09-17 558.283645 554.652217 108.428383   58.793134
2024-09-18 556.887432 553.137984 112.003820   36.560159
2024-09-19 564.232771 560.828606 101.546100  101.546100
2024-09-20 562.836996 559.478571 100.168302  100.168302
2024-09-23 564.346239 561.032861  98.805634   98.805634
2024-09-24 565.519528 562.303440  95.868791   95.868791
2024-09-25 566.172148 562.948177  96.105224   96.105224
2024-09-26 569.387445 566.153557  96.397977   24.615106
2024-09-27 568.267623 564.707261 106.255171   63.977725
2024-09-30 565.344007 561.849848 104.261594  104.261594
2024-10-01 568.078364 564.038236 120.779291 -185.763137
2024-10-02 562.472009 558.546263 117.328515  117.328515
2024-10-03 561.989557 557.738451 127.202465  127.202465
2024-10-04 567.042378 563.020050 120.242697  120.242697
2024-10-07 565.708529 560.982155 141.649106   -9.385660
2024-10-08 564.941105 560.474479 133.743505  133.743505
2024-10-09 567.702822 563.331253 130.842888  130.842888
2024-10-10 570.281979 565.875871 131.883526  131.883526
2024-10-11 570.599849 566.289908 128.960094  128.960094
2024-10-14 575.787303 571.599141 125.245656  125.245656
2024-10-15 579.043292 574.631242 132.032941 -162.078928
2024-10-16 574.371287 570.218782 124.168300  124.168300
2024-10-17 580.485442 576.389114 122.445744  -60.516137
2024-10-18 578.757641 574.903550 115.112595  115.112595
2024-10-21 578.509653 574.584813 117.255284  117.255284
2024-10-22 575.750233 571.880141 115.605110  115.605110
2024-10-23 575.867203 571.775920 122.306774  -32.058825
2024-10-24 574.612957 570.564414 121.014716  121.014716
2024-10-25 576.019549 571.696212 129.348458   64.075650
2024-10-28 577.125896 572.906767 126.181086  126.181086
2024-10-29 574.461454 570.359021 122.649182  122.649182
2024-10-30 575.799900 571.473975 129.427778  129.427778
2024-10-31 569.882261 565.012128 146.013805 -338.922488
2024-11-01 565.793160 561.224120 136.856733  136.856733
2024-11-04 565.645914 561.057271 137.454088  137.454088
2024-11-05 565.337562 561.061131 127.960263  127.960263
2024-11-06 583.998089 580.487581 104.713631  104.713631
2024-11-07 587.940239 584.637808  98.428696   98.428696
2024-11-08 591.027040 587.763900  97.238865   97.238865
2024-11-11 594.632866 591.343243  98.030211   98.030211
2024-11-12 593.536437 590.309753  96.136045   53.857111
2024-11-13 592.300532 589.231214  91.400598   91.400598
2024-11-14 592.224518 589.092282  93.294328 -170.551516
2024-11-15 584.525047 581.039363 103.963137 -145.111376
2024-11-18 581.105729 577.760322  99.737773   99.737773
2024-11-19 579.540586 576.039796 104.429988  104.429988
2024-11-20 585.087939 581.379102 110.702694  110.702694
2024-11-21 588.106982 584.441813 109.375735  109.375735
2024-11-22 588.511591 585.197277  98.785828   98.785828
